id,baslik,alt_baslik,oda_tipi,gecelik_fiyat_tl,fiyat_1_gun_tl,fiyat_1_hafta_tl,fiyat_1_ay_tl,fiyat_3_ay_tl,puan,yorum_sayisi,enlem,boylam,url,resim_url
1740732278040983377,Ev - Olympia,Mt Rainier Manzaralı Büyüleyici Sahil Evi,Daire / Ev,25119,,,25119,,,0,47.0854,-122.9345,https://www.airbnb.com.tr/rooms/1740732278040983377,https://a0.muscache.com/im/pictures/2749331460.jpg
46028825,Ev - Olympia,Çok büyük bir Olympia evi. 10 kişi konaklayabilir. Birçok olanak var.,Daire / Ev,19291,,,19291,,4.93,182,47.05292,-122.93792,https://www.airbnb.com.tr/rooms/46028825,https://a0.muscache.com/im/pictures/1086108249.jpg
19315702,Daire - Olympia,"Sürdürülebilir, Toskana Tarzı Bir Evde Sıcak Bir Daire",Daire,10168,,,10168,,4.93,310,47.045,-122.9136,https://www.airbnb.com.tr/rooms/19315702,https://a0.muscache.com/im/pictures/1573445043.jpg
43524487,Olympia bölgesinde oda,Olympia RavenLoft,Özel Oda,3625,,,3625,,4.95,148,47.0548,-122.8803,https://www.airbnb.com.tr/rooms/43524487,https://a0.muscache.com/im/pictures/1747794741.jpg
39913009,Daire - Olympia,Güzel South Capitol Stüdyosu - Şehir merkezine yakın,Daire,7492,,,7492,,4.95,150,47.0321,-122.8977,https://www.airbnb.com.tr/rooms/39913009,https://a0.muscache.com/im/pictures/2064592793.jpg
1050777884404976917,Küçük ev - Olympia,Poulailler,Daire / Ev,5936,,,,5936,5.0,139,46.95909,-122.9139,https://www.airbnb.com.tr/rooms/1050777884404976917,https://a0.muscache.com/im/pictures/2214591159.jpg
41258124,Tumwater bölgesinde oda,Özel yatak ve banyo,Özel Oda,4184,,,,4184,4.78,54,46.99363,-122.9103,https://www.airbnb.com.tr/rooms/41258124,https://a0.muscache.com/im/pictures/1762382770.jpg
765883112645028428,Ev - Tumwater,Olympia Near Downtown,Daire / Ev,8563,,,,8563,4.89,167,47.01882,-122.8948,https://www.airbnb.com.tr/rooms/765883112645028428,https://a0.muscache.com/im/pictures/1567325424.jpg
47785075,Ev - Olympia,Tarihi evde toplanın - 8 kişilik. Klima ve elektrikli araç.,Daire / Ev,15398,,,,15398,4.92,178,47.03341,-122.90258,https://www.airbnb.com.tr/rooms/47785075,https://a0.muscache.com/im/pictures/1122460747.jpg
1387042941055044791,Ev - Lacey,Lacey'de güzel 3 yatak odalı ev,Özel Oda,12260,,,,12260,4.98,55,47.034289075641986,-122.8255011149123,https://www.airbnb.com.tr/rooms/1387042941055044791,https://a0.muscache.com/im/pictures/2149310414.jpg
1139101047713091334,Ev - Olympia,"Rahat kulübe - hamam, oyun odası, ateş çemberi",Özel Oda,10995,,,,10995,5.0,76,47.0693,-122.8885,https://www.airbnb.com.tr/rooms/1139101047713091334,https://a0.muscache.com/im/pictures/2151505679.jpg
26755250,Ev - Olympia,"Oly's Westside Story: 5 yatak odası, 2 banyo, jakuzi, barbekü.",Özel Oda,16688,,,,16688,4.94,295,47.05561,-122.92101,https://www.airbnb.com.tr/rooms/26755250,https://a0.muscache.com/im/pictures/590082189.jpg
33046174,Misafir evi - Olympia,Olympia Waterfront Beach Cottage.,Daire / Ev,14961,,,,14961,4.96,285,47.09906,-122.8926,https://www.airbnb.com.tr/rooms/33046174,https://a0.muscache.com/im/pictures/1055550146.jpg
903192334759740403,Daire - Olympia,"Dinlendirici 3 yatak odası / 2 yaşam alanı / Klima, odalarda TV",Özel Oda,8757,,,,8757,4.89,256,47.0448,-122.9182,https://www.airbnb.com.tr/rooms/903192334759740403,https://a0.muscache.com/im/pictures/1757100384.jpg
53969585,Misafir evi - Lacey,Camp Midles'daki Lake Cottage,Daire / Ev,7663,,,,7663,4.96,368,47.02603,-122.79374,https://www.airbnb.com.tr/rooms/53969585,https://a0.muscache.com/im/pictures/1472529073.jpg
1754113473676957426,Daire - Olympia,Rahat özel MIL daire ,Daire,5109,,,,5109,4.89,9,47.05908,-122.87485,https://www.airbnb.com.tr/rooms/1754113473676957426,https://a0.muscache.com/im/pictures/2777700882.jpg
750046987511727066,Misafir evi - Olympia,Olympia'da Rahat Çatı Katı - Güney Capitol Mahallesi,Daire / Ev,5595,,,,5595,4.89,118,47.0274,-122.8992,https://www.airbnb.com.tr/rooms/750046987511727066,https://a0.muscache.com/im/pictures/1749687962.jpg
1162995307514259082,Olympia bölgesinde oda,Ortak evde oda mevcuttur.,Özel Oda,2798,2798,,,,4.93,14,47.0613,-122.9486,https://www.airbnb.com.tr/rooms/1162995307514259082,https://a0.muscache.com/im/pictures/1913801321.jpg
18721430,Ev - Olympia,Özel Giriş Yatak/Banyo,Daire / Ev,5327,5327,,,,4.97,302,47.04804,-122.92579,https://www.airbnb.com.tr/rooms/18721430,https://a0.muscache.com/im/pictures/2302496609.jpg
1071171431627878906,Ev - Tumwater,Kim'in yeri,Daire / Ev,11312,11312,,,,4.93,27,47.010238634886825,-122.90662198114327,https://www.airbnb.com.tr/rooms/1071171431627878906,https://a0.muscache.com/im/pictures/2001746736.jpg
12134536,Olympia bölgesinde oda,"""Doğal yürüyüş parkurlarına sahip ""Raventree Inn Suite"" evi.",Özel Oda,3795,3795,,,,4.92,221,47.0548,-122.8803,https://www.airbnb.com.tr/rooms/12134536,https://a0.muscache.com/im/pictures/1673603470.jpg
903695459442334890,Misafir evi - Olympia,Olympia şehir merkezine yürüme mesafesinde Bayfront casita + jakuzi,Daire / Ev,11190,11190,,,,4.88,49,47.05743,-122.89283,https://www.airbnb.com.tr/rooms/903695459442334890,https://a0.muscache.com/im/pictures/2676133030.jpg
1760015694889755597,Otel odası - Tumwater,King | La Quinta Tumwater-Olympia | Kapalı havuz,Özel Oda,9748,9748,,,,,0,47.0059931,-122.9075695,https://www.airbnb.com.tr/rooms/1760015694889755597,https://a0.muscache.com/im/pictures/2789481292.jpg
1721259759578085073,Olympia bölgesinde oda,"Zemin katta, en fazla iki misafir için queen boy yataklı yatak odası",Özel Oda,2796,2796,,,,5.0,12,47.0613,-122.9486,https://www.airbnb.com.tr/rooms/1721259759578085073,https://a0.muscache.com/im/pictures/2707874501.jpg
1766264890807770726,Ev - Yelm,Fern Cottage | Çift kişilik yatak | 6 kişilik,Daire / Ev,8757,8757,,,,,0,46.8709,-122.6415,https://www.airbnb.com.tr/rooms/1766264890807770726,https://a0.muscache.com/im/pictures/2808870006.jpg
1592912278801008307,Lacey bölgesinde oda,Sessiz Lacey Mahallesinde Özel Yatak Odası,Özel Oda,3406,3406,,,,5.0,13,47.0277686287389,-122.8117187766328,https://www.airbnb.com.tr/rooms/1592912278801008307,https://a0.muscache.com/im/pictures/2556310733.jpg
915200587968056650,Misafir evi - Olympia,Bahçelerdeki bungalov,Daire / Ev,11068,11068,,,,4.98,370,47.05414,-122.85924,https://www.airbnb.com.tr/rooms/915200587968056650,https://a0.muscache.com/im/pictures/1676837315.jpg
1598283606992870183,Ev - Tumwater,Dağ manzaralı verandaya sahip lüks ev,Daire / Ev,25251,25251,,,,,0,47.01101,-122.92035,https://www.airbnb.com.tr/rooms/1598283606992870183,https://a0.muscache.com/im/pictures/2478649430.jpg
668309511941513411,Kulübe - Lakebay,Lakebay Getaway: Ormanda huzurlu bir kulübe,Daire / Ev,14109,14109,,,,4.97,152,47.2564,-122.75952,https://www.airbnb.com.tr/rooms/668309511941513411,https://a0.muscache.com/im/pictures/1594751269.jpg
1766064195893495704,Ev - Olympia,St Clair Gölü'nde Su Kenarında Saunalı Yaşam,Daire / Ev,20410,20410,,,,,0,46.9935,-122.7307,https://www.airbnb.com.tr/rooms/1766064195893495704,https://a0.muscache.com/im/pictures/2801327217.jpg
1345859353717466410,Bungalov - Shelton,Oakland Körfezi'nde dinlendirici sahil kaçamağı,Kır Evi / Bungalov,11579,11579,,,,4.88,60,47.24337702634582,-123.0339064920302,https://www.airbnb.com.tr/rooms/1345859353717466410,https://a0.muscache.com/im/pictures/2111287563.jpg
48361931,Küçük ev - Tenino,Cosmic Turtle Farm'daki Çingene Kulübesi,Daire / Ev,4500,4500,,,,4.91,308,46.87581,-122.84366,https://www.airbnb.com.tr/rooms/48361931,https://a0.muscache.com/im/pictures/1142278248.jpg
1551745034926919880,Ev - Olympia,16 Kişilik Grup Kaçamağı • Jakuzi • Oyun Odası • Geniş Arazisi Var,Özel Oda,31697,31697,,,,4.88,8,47.08463,-122.88754,https://www.airbnb.com.tr/rooms/1551745034926919880,https://a0.muscache.com/im/pictures/2560786460.jpg
1279733310880353043,Olympia bölgesinde oda,Olympia Yukarı Doğu Yakası,Özel Oda,2943,2943,,,,4.79,19,47.0513,-122.8735,https://www.airbnb.com.tr/rooms/1279733310880353043,https://a0.muscache.com/im/pictures/2023160991.jpg
1160914337249008664,Daire - Trabzon,Daire Trabzon Merkez Meydan,Daire,3553,,3553,3553,3553,4.82,110,41.0067,39.7308,https://www.airbnb.com.tr/rooms/1160914337249008664,https://a0.muscache.com/im/pictures/1911874872.jpg
896303440692456207,Daire - Ortahisar,Trabzon şehir merkezinde büyük daire,Daire,3000,,3000,3000,3000,4.78,160,41.0067,39.7308,https://www.airbnb.com.tr/rooms/896303440692456207,https://a0.muscache.com/im/pictures/1656655184.jpg
938448945732317535,Daire - Ortahisar,Uzun Sokak'ın başlangıcı.,Daire,3844,,3844,,,4.89,54,41.0048,39.7228,https://www.airbnb.com.tr/rooms/938448945732317535,https://a0.muscache.com/im/pictures/1914889582.jpg
1219458864007736994,Otel odası - Ortahisar,Butik Apart (1+0),Özel Oda,1650,,1650,,,4.78,18,40.99606748945304,39.761755601682935,https://www.airbnb.com.tr/rooms/1219458864007736994,https://a0.muscache.com/im/pictures/2673821800.jpg
1145444820838900156,Daire - Ortahisar,Standart (2+1),Daire,3850,,3950,3750,,4.96,50,41.0025,39.70006,https://www.airbnb.com.tr/rooms/1145444820838900156,https://a0.muscache.com/im/pictures/1894860627.jpg
1206399594904937275,Otel - Ortahisar,Merkezde 2 Yataklı Şık Oda,Özel Oda,2530,,2631,2429,,4.6,5,41.0033,39.7226,https://www.airbnb.com.tr/rooms/1206399594904937275,https://a0.muscache.com/im/pictures/1958566482.jpg
927191731446373502,Daire - Ortahisar,Şehir Merkezinde Balkonlu Daire Yatak Odası+Salon ,Özel Oda,4330,,4330,,,4.85,13,41.0051,39.7249,https://www.airbnb.com.tr/rooms/927191731446373502,https://a0.muscache.com/im/pictures/1688925151.jpg
1420198979346804081,Ortahisar bölgesinde oda,3 Yıldızlı Kahvaltı Dahil Otel Odası,Özel Oda,1995,,1995,1995,1995,4.63,43,40.9901,39.7843,https://www.airbnb.com.tr/rooms/1420198979346804081,https://a0.muscache.com/im/pictures/2172176049.jpg
673572542535793024,Otel odası - Ortahisar,Standart (1+1),Özel Oda,3600,,3600,,,4.9,92,41.0012,39.6993,https://www.airbnb.com.tr/rooms/673572542535793024,https://a0.muscache.com/im/pictures/1700307958.jpg
916626847546586163,Daire - Ortahisar,Şehir merkezinde konforlu bir stüdyo!,Daire,3805,,3723,3887,,4.65,26,41.0035,39.7233,https://www.airbnb.com.tr/rooms/916626847546586163,https://a0.muscache.com/im/pictures/1678679157.jpg
1725294003667408540,Daire - Ortahisar,Loya Apartmanları ,Daire,4000,,4000,,,,0,41.0022,39.7285,https://www.airbnb.com.tr/rooms/1725294003667408540,https://a0.muscache.com/im/pictures/2716089148.jpg
1339044582478731240,Otel - Ortahisar,Doa Apart,Daire / Ev,4375,,5321,3902,3902,,0,41.003732180967134,39.73052695552358,https://www.airbnb.com.tr/rooms/1339044582478731240,https://a0.muscache.com/im/pictures/2073262813.jpg
1378082203099195950,Bungalov - Çilekli,Mira Bungalow,Kır Evi / Bungalov,4040,,3780,4140,4200,4.77,73,40.9608,39.7747,https://www.airbnb.com.tr/rooms/1378082203099195950,https://a0.muscache.com/im/pictures/2770492941.jpg
655363177278632091,Daire - Ortahisar,Deniz ve Doğa Adalet Villa Apart,Müstakil Villa,6373,,6373,,6373,5.0,52,40.9778,39.6854,https://www.airbnb.com.tr/rooms/655363177278632091,https://a0.muscache.com/im/pictures/2181860029.jpg
942054877705630434,Daire - Ortahisar,Havaalanına yakın 4 klimalı daire(Deniz Manzaralı),Daire,3162,,3162,,,4.9,60,40.9887,39.7853,https://www.airbnb.com.tr/rooms/942054877705630434,https://a0.muscache.com/im/pictures/2505411870.jpg
1184069436722727446,Küçük ev - Uğurlu,Argaliya Bungalov Trabzon  (3),Daire / Ev,4414,,4800,4027,,4.93,75,40.97074589110087,39.66460197440641,https://www.airbnb.com.tr/rooms/1184069436722727446,https://a0.muscache.com/im/pictures/1935824247.jpg
916639477088113322,Daire - Ortahisar,Şehir merkezinde küçük mutfaklı şık stüdyo!,Daire,3572,,3572,,,4.67,24,41.0036,39.7233,https://www.airbnb.com.tr/rooms/916639477088113322,https://a0.muscache.com/im/pictures/1678137545.jpg
1441117595796802438,Daire - Ortahisar,"Copper House
Trabzon Meydan
Lüks 4 Kişilik Daire 1",Daire,4381,,4381,,,4.71,21,41.0075,39.72477,https://www.airbnb.com.tr/rooms/1441117595796802438,https://a0.muscache.com/im/pictures/2208990561.jpg
684651770355499286,Çatı katı - Ortahisar,Çatı (1+1) - 12,Daire / Ev,3500,,,3500,,4.91,139,41.00244,39.69803,https://www.airbnb.com.tr/rooms/684651770355499286,https://a0.muscache.com/im/pictures/1699821239.jpg
45076226,Ağaç ev - Ortahisar,@agacevkilat,Daire / Ev,3675,,,3725,3625,4.93,243,40.92451,39.74714,https://www.airbnb.com.tr/rooms/45076226,https://a0.muscache.com/im/pictures/1452340183.jpg
1433255661697024772,Bungalov - Ortahisar,HomyWood Bungalov / A Blok,Kır Evi / Bungalov,10714,,,11093,10335,5.0,62,40.9748,39.7147,https://www.airbnb.com.tr/rooms/1433255661697024772,https://a0.muscache.com/im/pictures/2195995090.jpg
1465882991346432125,Ağaç ev - Ortahisar,Trabzon'da bungalov,Daire / Ev,5437,,,5036,5838,4.61,41,40.95596174780901,39.7352098734641,https://www.airbnb.com.tr/rooms/1465882991346432125,https://a0.muscache.com/im/pictures/2254708754.jpg
899160988646648035,Ev - Ortahisar,harika konum asansörlü daire,Daire / Ev,2296,,,2296,2296,4.87,83,40.9922,39.7791,https://www.airbnb.com.tr/rooms/899160988646648035,https://a0.muscache.com/im/pictures/1752020254.jpg
46615787,Villa - Ortahisar,AK Nature Suites,Müstakil Villa,15206,,,16200,14211,5.0,7,41.00452831087099,39.72778804480505,https://www.airbnb.com.tr/rooms/46615787,https://a0.muscache.com/im/pictures/2689003086.jpg
664891987304964751,Daire - Ortahisar,Standart (2+1),Daire,3700,,,3700,,4.9,48,41.00179370405318,39.69838695918333,https://www.airbnb.com.tr/rooms/664891987304964751,https://a0.muscache.com/im/pictures/1700301669.jpg
1219651615032968259,Daire - Ortahisar,Trabzon Superior'daki Eviniz,Daire,4379,,,4379,,4.97,29,40.9749,39.829,https://www.airbnb.com.tr/rooms/1219651615032968259,https://a0.muscache.com/im/pictures/2164195047.jpg
698464883862345708,Villa - Ortahisar,Sky Villas Hisar,Müstakil Villa,5329,,,5329,,4.8,80,40.97698,39.68659,https://www.airbnb.com.tr/rooms/698464883862345708,https://a0.muscache.com/im/pictures/2202449680.jpg
1441117699008063820,Daire - Ortahisar,"Copper House
Trabzon Meydan
Lüks 4 Kişi Aile Daire",Daire,2799,,,,2799,4.61,36,41.00795541600939,39.72445232415619,https://www.airbnb.com.tr/rooms/1441117699008063820,https://a0.muscache.com/im/pictures/2208998062.jpg
1518235684457348066,Butik otel - Ortahisar,"Meydan ve havaalanına 5dk, Otogara 3dk - Eko oda",Özel Oda,1736,,,,1736,4.8,65,40.9926025369119,39.75985251614699,https://www.airbnb.com.tr/rooms/1518235684457348066,https://a0.muscache.com/im/pictures/2349110705.jpg
52366747,Villa - Trabzon,Deniz ve doğal Adalet takım elbiseleri,Müstakil Villa,6624,,,,6624,5.0,81,40.97699,39.68522,https://www.airbnb.com.tr/rooms/52366747,https://a0.muscache.com/im/pictures/1807900986.jpg
1359301283408562344,Bungalov - Ortahisar,Standart Bungalov 6 - Village Otantik Park,Müstakil Villa,6750,,,,6750,5.0,8,40.9853,39.7653,https://www.airbnb.com.tr/rooms/1359301283408562344,https://a0.muscache.com/im/pictures/2091527530.jpg
1452006226638693585,Daire - Trabzon Merkez or Trabzon Ortahisar,Havalimanına yakın modern daire Bayrak Residences,Daire,3929,,,,3929,4.85,196,40.9902,39.7942,https://www.airbnb.com.tr/rooms/1452006226638693585,https://a0.muscache.com/im/pictures/2234978594.jpg
899832399594630163,Ev - Ortahisar,Çok güzel manzaralı ev,Daire / Ev,4573,,,,4573,5.0,34,40.97692,39.6864,https://www.airbnb.com.tr/rooms/899832399594630163,https://a0.muscache.com/im/pictures/2673562679.jpg
949291930040098475,Daire - Ortahisar,Deniz manzaralı teras çatı katı.,Daire,4737,,,,4737,4.97,35,40.99998,39.69663,https://www.airbnb.com.tr/rooms/949291930040098475,https://a0.muscache.com/im/pictures/1711365244.jpg
1770423246804311017,"Ev - Auburn, Alabama, Amerika Birleşik Devletleri",En Güzel Konaklama,Daire / Ev,14172,,16131,,12212,,0,32.65858,-85.47989,https://www.airbnb.com.tr/rooms/1770423246804311017,https://a0.muscache.com/im/pictures/2809765513.jpg
1702625089867601310,"Kulübe - Guatemala şehri, Guatemala",Bosque Mágico Jakuzili lüks orman kulübesi ,Daire / Ev,9566,,9566,,,5.0,21,14.648450420595427,-90.61804253593152,https://www.airbnb.com.tr/rooms/1702625089867601310,https://a0.muscache.com/im/pictures/2668805206.jpg
1749636625958723797,"Ev - La Fortuna, Kosta Rika",Aile Vahası | Havuz + Jakuzi | La Fortuna'ya 9 dakika,Daire / Ev,6203,,6203,6203,,5.0,3,10.4741,-84.5902,https://www.airbnb.com.tr/rooms/1749636625958723797,https://a0.muscache.com/im/pictures/2789410806.jpg
1766762655356081778,"Kubbe - Juayúa, El Salvador","Sunset Dome, Panoramik Manzara, Çiçek Yolu",Daire / Ev,5352,,4622,6082,,,0,13.8504,-89.6948,https://www.airbnb.com.tr/rooms/1766762655356081778,https://a0.muscache.com/im/pictures/2811297068.jpg
1753832344104306454,"Ev - Rockford, Illinois, Amerika Birleşik Devletleri",Velvet - Özel Red odada çiftler için kaçamak,Özel Oda,21650,,21650,,,5.0,5,42.37542,-89.05841,https://www.airbnb.com.tr/rooms/1753832344104306454,https://a0.muscache.com/im/pictures/2789257089.jpg
1738490225466305733,"Dağ evi - Monteiro Lobato, Brezilya",Chalé Black Bird,Daire / Ev,7485,,7485,,,5.0,7,-22.9423,-45.8768,https://www.airbnb.com.tr/rooms/1738490225466305733,https://a0.muscache.com/im/pictures/2744427797.jpg
1748982165501297793,"Ev - Concepción de Ataco, El Salvador",Yıldızların Altında Jakuzi ve Film Geceleri | Ataco,Daire / Ev,7298,,7298,,,5.0,10,13.8663,-89.8548,https://www.airbnb.com.tr/rooms/1748982165501297793,https://a0.muscache.com/im/pictures/2772364195.jpg
